"Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Contact Telephone Number","Status Code"
"COMPLEX REHAB WARD 5 - BCSS INPATIENT UNIT","NEWSAM CENTRE","SEACROFT HOSPITAL","YORK ROAD","LEEDS","","LS14 6UH","","A"
"ASKET CROFT - BCSS INPATIENT UNIT","ASKET COMMUNITY UNIT","1 ASKET PLACE","","LEEDS","","LS14 1PP","","A"
"FORENSIC WARD - BCSS INPATIENT UNIT","THE NEWSAM CENTRE","SEACROFT HOSPITAL","YORK ROAD","LEEDS","","LS14 6UH","","A"
"ASKET HOUSE - BCSS INPATIENT UNIT","ASKET COMMUNITY UNIT","1 ASKET PLACE","","LEEDS","","LS14 1PP","","A"
"OP ACUTE - BCSS INPATIENT UNIT","THE MOUNT","44 HYDE TERRACE","","LEEDS","","LS2 9LN","","A"
"THE LEEDS ROAD PRACTICE","LEEDS ROAD PRACTICE","49-51 LEEDS ROAD","HARROGATE","NORTH YORKSHIRE","","HG2 8AY","01423 566636","A"
"SOUTH MILFORD SURGERY","THE SURGERY","HIGH ST, SOUTH MILFORD","LEEDS","","","LS25 5AA","01977 682202","A"
"WINDSOR MEDICAL CENTRE","WINDSOR MEDICAL CENTRE","2 WILLIAM ST, LEEDS RD","DEWSBURY","WEST YORKSHIRE","","WF12 7BD","01924 465699","A"
"CITY VIEW MEDICAL PRACTICE","BEESTON HILL COMMUNITY HC","123 CEMETERY ROAD","LEEDS","","","LS11 8LH","0113 4677515","A"
"DR G LEES & PARTNERS","ARMLEY MOOR HEALTH CENTRE","95 TOWN STREET","LEEDS","WEST YORKSHIRE","","LS12 3HD","0113 4677499","A"
"HIGHFIELD SURGERY","HIGHFIELD SURGERY","HOLTDALE APPROACH","LEEDS","WEST YORKSHIRE","","LS16 7RX","0113 2953600","A"
"DR N DUMPHY & PARTNERS","12 OAKLEY TERRACE","BEESTON","LEEDS","","","LS11 5HT","0113 2720900","A"
"OULTON MEDICAL CENTRE","OULTON MEDICAL CENTRE","QUARRY HILL, OULTON","LEEDS","","","LS26 8SZ","0113 282138","A"
"WINDMILL HEALTH CENTRE","83A WHINMOOR WAY","LEEDS","WEST YORKSHIRE","","","LS14 5BD","0113 2733733","A"
"ALWOODLEY MEDICAL CENTRE","SAXON MOUNT","MOORTOWN","LEEDS","WEST YORKSHIRE","","LS17 5DT","0113 3930119","A"
